agent.prolific_pid,p_1_agree_item_1,p_1_agree_item_2,p_1_agree_item_3,p_1_agree_item_4,p_1_agree_item_5,p_1_agree_item_6,p_1_consc_item_1,p_1_consc_item_2,p_1_consc_item_3,p_1_consc_item_4,p_1_consc_item_5,p_1_consc_item_6,p_1_extr_item_1,p_1_extr_item_2,p_1_extr_item_3,p_1_extr_item_4,p_1_extr_item_5,p_1_extr_item_6,p_1_neuro_item_1,p_1_neuro_item_2,p_1_neuro_item_3,p_1_neuro_item_4,p_1_neuro_item_5,p_1_neuro_item_6,p_1_openness_item_1,p_1_openness_item_2,p_1_openness_item_3,p_1_openness_item_4,p_1_openness_item_5,p_1_openness_item_6,p_2_agree_item_1,p_2_agree_item_2,p_2_agree_item_3,p_2_agree_item_4,p_2_agree_item_5,p_2_agree_item_6,p_2_consc_item_1,p_2_consc_item_2,p_2_consc_item_3,p_2_consc_item_4,p_2_consc_item_5,p_2_consc_item_6,p_2_extr_item_1,p_2_extr_item_2,p_2_extr_item_3,p_2_extr_item_4,p_2_extr_item_5,p_2_extr_item_6,p_2_neuro_item_1,p_2_neuro_item_2,p_2_neuro_item_3,p_2_neuro_item_4,p_2_neuro_item_5,p_2_neuro_item_6,p_2_openness_item_1,p_2_openness_item_2,p_2_openness_item_3,p_2_openness_item_4,p_2_openness_item_5,p_2_openness_item_6,p_3_agree_item_1,p_3_agree_item_2,p_3_agree_item_3,p_3_agree_item_4,p_3_agree_item_5,p_3_agree_item_6,p_3_consc_item_1,p_3_consc_item_2,p_3_consc_item_3,p_3_consc_item_4,p_3_consc_item_5,p_3_consc_item_6,p_3_extr_item_1,p_3_extr_item_2,p_3_extr_item_3,p_3_extr_item_4,p_3_extr_item_5,p_3_extr_item_6,p_3_neuro_item_1,p_3_neuro_item_2,p_3_neuro_item_3,p_3_neuro_item_4,p_3_neuro_item_5,p_3_neuro_item_6,p_3_openness_item_1,p_3_openness_item_2,p_3_openness_item_3,p_3_openness_item_4,p_3_openness_item_5,p_3_openness_item_6,source_file,PROLIFIC_PID,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score
5c452213a6c3df0001d2014f,4,4,3,4,3,4,4,4,3,4,4,3,3,4,3,4,3,2,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,4,3,4,4,3,4,4,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,results.csv,5c452213a6c3df0001d2014f,1.25,3.25,3.75,3.5,4.0
5d584a10a0c0940001a46efd,4,3,4,4,4,4,4,4,3,4,4,4,4,2,3,4,3,3,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,results.csv,5d584a10a0c0940001a46efd,3.0,5.0,2.75,2.5,4.5
60196ee67d099006f74c5bb3,4,4,3,4,4,4,3,4,3,4,4,3,4,3,2,4,3,3,3,4,3,4,4,4,3,4,3,2,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,4,3,4,2,4,4,4,3,4,4,4,3,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,results.csv,60196ee67d099006f74c5bb3,1.75,3.25,2.5,2.75,4.5
60e769ec9858960e8ad00886,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,4,3,3,4,3,3,3,3,3,3,4,results.csv,60e769ec9858960e8ad00886,1.0,2.25,3.25,1.75,3.0
611171b294ac05e4a3ff358b,4,4,3,5,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,3,4,5,4,5,5,4,5,3,5,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,results.csv,611171b294ac05e4a3ff358b,2.25,4.25,3.25,3.25,5.0
6504c6655c2ae520567f52ff,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,results.csv,6504c6655c2ae520567f52ff,3.25,3.0,3.5,2.25,5.0
664e46d7a85eca66b546f596,3,4,3,4,3,3,4,4,3,4,4,3,2,3,2,3,2,2,4,4,3,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,2,3,2,3,2,3,4,4,3,4,3,4,2,3,2,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,3,4,4,3,4,4,4,3,3,3,4,3,3,results.csv,664e46d7a85eca66b546f596,2.5,4.75,3.75,3.0,3.5
665acb8be8d04df6693caf4a,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,2,3,3,3,3,2,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,results.csv,665acb8be8d04df6693caf4a,3.5,3.25,2.75,2.75,2.25
66a8e4f1997807db5221e94f,4,4,3,4,4,4,4,4,3,4,3,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,results.csv,66a8e4f1997807db5221e94f,4.25,4.0,2.5,3.75,3.75
66af72617c33867b3ed6ebdf,4,4,3,4,4,3,4,4,3,4,4,3,3,4,3,3,3,3,4,4,3,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,3,3,4,3,4,3,3,results.csv,66af72617c33867b3ed6ebdf,2.75,3.0,4.25,2.5,3.5
