StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Intro,gender,age,races_1,races_2,races_3,races_4,races_5,races_6,races_7,employment_status,marital_status,children,household_income,education_level,state,country,political_orientaton,political_orientaton_4_TEXT,republican_strength,democrat_strength,party_alignment,political_Ideology_1,voted,vote_for,shopping_freq,monthly_spend,brands_type_pref_1,brands_type_pref_2,brands_type_pref_3,brands_type_pref_4,brands_type_pref_5,brands_type_pref_6,vacation_travel_freq,brand_importance,discount_importance,buy_decision_style,device_used_to_buy_1,device_used_to_buy_2,device_used_to_buy_3,device_used_to_buy_5,social_m_influence,eco_friendly_imp,pq_1,pq_2,pq_3,pq_4,pq_5,pq_6_reverse_score,pq_7_reverse_score,pq_8_reverse_score,pq_9_reverse_score,pq_attention_check_1,pq_10_reverse_score,pq_11,pq_12,pq_13,pq_attention_check_2,pq_14,pq_15_reverse_score,pq_16_reverse_score,pq_17_reverse_score,pq_18_reverse_score,pq_19_reverse_score,pq_20_reverse_score,p_1_openness_item_1,p_1_openness_item_2,p_1_openness_item_3,p_1_openness_item_4,p_1_openness_item_5,p_1_openness_item_6,p_1_consc_item_1,p_1_consc_item_2,p_1_consc_item_3,p_1_consc_item_4,p_1_consc_item_5,p_1_consc_item_6,p_1_extr_item_1,p_1_extr_item_2,p_1_extr_item_3,p_1_extr_item_4,p_1_extr_item_5,p_1_extr_item_6,p_1_agree_item_1,p_1_agree_item_2,p_1_agree_item_3,p_1_agree_item_4,p_1_agree_item_5,p_1_agree_item_6,p_1_neuro_item_1,p_1_neuro_item_2,p_1_neuro_item_3,p_1_neuro_item_4,p_1_neuro_item_5,p_1_neuro_item_6,p_2_openness_item_1,p_2_openness_item_2,p_2_openness_item_3,p_2_openness_item_4,p_2_openness_item_5,p_2_openness_item_6,p_2_consc_item_1,p_2_consc_item_2,p_2_consc_item_3,p_2_consc_item_4,p_2_consc_item_5,p_2_consc_item_6,p_2_extr_item_1,p_2_extr_item_2,p_2_extr_item_3,p_2_extr_item_4,p_2_extr_item_5,p_2_extr_item_6,p_2_agree_item_1,p_2_agree_item_2,p_2_agree_item_3,p_2_agree_item_4,p_2_agree_item_5,p_2_agree_item_6,p_2_neuro_item_1,p_2_neuro_item_2,p_2_neuro_item_3,p_2_neuro_item_4,p_2_neuro_item_5,p_2_neuro_item_6,p_3_openness_item_1,p_3_openness_item_2,p_3_openness_item_3,p_3_openness_item_4,p_3_openness_item_5,p_3_openness_item_6,p_3_consc_item_1,p_3_consc_item_2,p_3_consc_item_3,p_3_consc_item_4,p_3_consc_item_5,p_3_consc_item_6,p_3_extr_item_1,p_3_extr_item_2,p_3_extr_item_3,p_3_extr_item_4,p_3_extr_item_5,p_3_extr_item_6,p_3_agree_item_1,p_3_agree_item_2,p_3_agree_item_3,p_3_agree_item_4,p_3_agree_item_5,p_3_agree_item_6,p_3_agree_att_check,p_3_neuro_item_1,p_3_neuro_item_2,p_3_neuro_item_3,p_3_neuro_item_4,p_3_neuro_item_5,p_3_neuro_item_6,post_shop_survey_q_1,post_shop_survey_q_2,post_shop_survey_q_3,post_shop_survey_q_4_1,post_shop_survey_q_4_2,post_shop_survey_q_4_3,post_shop_survey_q_4_4,post_shop_survey_q_4_5,post_shop_survey_q_4_6,post_shop_survey_q_4_6_TEXT,post_shop_q1,post_shop_q2,seriousness_check,Q_TotalDuration,DeviceIdentifier,source,UserAgent,PROLIFIC_PID,STUDY_ID,SESSION_ID,EarlyExit,intellectImagination_score,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,CompleteExit
2024-12-11 11:55:06,2024-12-11 12:05:02,0,100,595,1,2024-12-11 12:05:03,R_1RsxKBs5qCxppyg,anonymous,EN,1,,0,0,,2,3,25,1,,,,,,,1,5,0,1,2,50,,2,,,2,,1,1,2,3,2,,1,1,,,,1,2,4,2,1,,1,,1,2,1,3,3,3,4,2,2,4,4,5,1,1,2,3,2,2,1,5,2,4,2,2,1,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,3,4,3,3,2,2,4,4,3,3,3,2,1,1,1,1,1,1,3,2,3,2,2,2,1,1,1,1,1,1,2,2,3,2,1,2,4,4,3,3,2,2,2,1,2,2,2,1,4,4,3,4,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,3,4,3,2,2,3,4,1,,,1,,1,Practicality ,2,5,2,595,,prolific_final,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36",60196ee67d099006f74c5bb3,675867a866926f4f99073407,67597d8c55c8dde7afa6c10a,,0.7,0.35,0.65,0.5,0.55,1
2024-12-11 11:50:07,2024-12-11 12:05:04,0,100,896,1,2024-12-11 12:05:05,R_6EfWDRRqI2QjBIw,anonymous,EN,0.6000000238,,0,0,,2,2,53,1,,,,,,,4,1,2,3,2,34,,1,,1,,,6,1,1,2,2,,1,,,,,4,1,4,2,1,,1,,1,2,1,5,2,4,5,2,2,1,4,5,4,4,5,4,2,4,4,5,1,2,4,1,4,4,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,2,2,4,4,4,4,4,4,4,3,5,1,,1,1,,,,3,3,2,896,,prolific_final,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0,664e46d7a85eca66b546f596,675867a866926f4f99073407,67597c65bfabd14e9d7328e3,,0.8,0.5,0.95,0.75,0.6,1
2024-12-11 11:57:42,2024-12-11 12:08:14,0,100,632,1,2024-12-11 12:08:15,R_3gi1rpD86szmDA0,anonymous,EN,0.8999999762,,0,45,,2,1,24,,1,,,,,,1,1,2,2,6,33,,2,,,2,,4,1,1,2,3,,,,,1,,4,4,4,2,1,,,,5,4,4,4,3,4,4,3,3,3,4,5,4,5,5,3,2,3,4,4,5,4,4,5,4,4,4,4,4,5,4,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,2,2,4,3,5,3,4,4,3,4,5,5,4,5,4,5,4,4,4,3,5,5,4,4,4,3,3,4,4,5,4,3,5,4,4,4,4,4,3,4,4,5,4,4,5,3,4,4,4,4,4,3,4,4,4,4,5,4,2,4,4,4,5,4,4,4,3,4,1,,1,1,1,,,4,3,2,632,,prolific_final,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",665acb8be8d04df6693caf4a,675867a866926f4f99073407,67597e2038e326389e732951,,0.55,0.7,0.65,0.55,0.55,1
2024-12-11 11:52:51,2024-12-11 12:08:26,0,100,934,1,2024-12-11 12:08:27,R_3J4R9lB4hKre9fl,anonymous,EN,0.6999999881,,0,0,,2,2,23,1,,,,,,,1,5,0,1,1,26,,3,,,,2,2,1,2,2,2,,1,,,,,1,2,4,2,1,,1,1,4,4,4,5,2,3,5,4,2,2,3,5,1,1,5,4,2,3,1,4,3,3,2,1,3,3,2,3,2,1,5,5,4,4,5,4,4,4,4,4,4,3,3,4,3,4,2,1,4,4,4,4,4,3,3,3,2,3,2,1,4,4,4,4,4,3,4,4,3,3,3,2,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,5,5,5,5,5,4,4,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,4,4,4,4,3,4,1,,1,1,1,,,3,3,2,934,,prolific_final,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",611171b294ac05e4a3ff358b,675867a866926f4f99073407,67597cfac04d321c32f5190e,,0.8,0.45,0.85,0.65,0.65,1
2024-12-11 11:51:57,2024-12-11 12:08:38,0,100,1000,1,2024-12-11 12:08:38,R_1TXGUtGN3HLFBNJ,anonymous,EN,0.8000000119,,0,0,,2,2,32,1,1,1,,,,,2,5,3,1,3,14,,5,,,,2,3,2,,3,2,1,1,,,1,,1,4,3,1,1,1,,,2,1,4,4,1,4,4,1,2,3,1,5,3,4,4,3,2,3,2,2,2,3,3,2,3,3,2,3,2,2,4,3,2,3,2,2,3,4,3,3,3,3,4,4,3,3,4,4,3,3,2,2,2,2,4,3,4,2,3,3,4,3,3,2,2,3,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,4,3,3,2,2,3,4,4,3,3,3,3,4,4,3,3,2,2,2,4,4,3,2,3,3,2,2,2,1,,1,,,,,3,3,2,1000,,prolific_final,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",66a8e4f1997807db5221e94f,675867a866926f4f99073407,67597cd1d68ff59c993155aa,,0.65,0.85,0.8,0.5,0.75,1
2024-12-11 11:55:36,2024-12-11 12:09:41,0,100,844,1,2024-12-11 12:09:42,R_3M50CMAKZ1m0T4t,anonymous,EN,1,,0,0,,2,2,34,,1,,,,,,3,1,2,2,3,42,,2,,,2,,1,1,2,2,3,,1,,,,,2,2,5,2,1,,1,,1,2,2,5,4,4,5,4,4,2,4,5,2,1,4,5,4,4,2,5,4,2,2,1,4,5,2,4,4,2,1,2,1,2,1,1,4,5,2,4,4,4,2,3,2,3,2,2,5,4,2,4,4,4,4,4,2,4,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,3,2,2,1,1,4,4,2,2,2,2,1,2,1,1,1,2,4,4,2,4,2,2,1,1,1,1,1,1,3,4,1,3,2,2,2,5,5,2,4,4,2,3,2,4,,,1,1,,,,3,5,2,844,,prolific_final,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",60b98567e2d17c3d44747f61,675867a866926f4f99073407,67597d98851413d2ba6a4a52,,0.8,0.3,0.65,0.85,0.7,1
2024-12-11 11:49:24,2024-12-11 12:11:33,0,100,1328,1,2024-12-11 12:11:34,R_7yedPXOxd8z0fAq,anonymous,EN,1,,0,0,,2,2,41,,1,,,,,,1,5,4,2,5,23,,2,,,2,,2,1,2,2,3,,1,,1,,,2,2,3,1,1,1,,,2,2,3,3,3,2,5,2,3,3,4,5,1,3,3,4,2,2,1,3,3,2,3,1,3,3,2,4,3,2,3,3,2,3,3,2,2,2,2,2,2,2,3,4,3,3,4,3,4,4,3,4,4,4,3,4,3,4,3,3,3,4,3,3,3,2,3,4,3,4,3,3,3,3,2,3,2,2,4,4,4,4,4,3,3,4,3,4,3,2,4,4,3,4,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,3,1,,,1,,,,3,2,2,1328,,prolific_final,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",6504c6655c2ae520567f52ff,675867a866926f4f99073407,67597c20a37b0e1b0b0cfda4,,0.8,0.65,0.6,0.7,0.45,1
2024-12-11 11:57:00,2024-12-11 12:13:29,0,100,989,1,2024-12-11 12:13:30,R_5i976rEbGQWbTjH,anonymous,EN,1,,0,0,,2,2,29,1,,,1,1,,,1,1,1,5,5,48,,2,,,2,,3,1,2,3,3,,1,,,,,2,3,5,2,1,1,1,1,4,2,2,4,3,2,4,5,4,2,2,5,2,1,4,4,2,3,2,5,3,2,1,2,3,2,2,2,2,2,5,4,4,5,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,3,4,4,4,4,4,4,3,3,2,2,2,2,4,4,4,4,4,3,4,4,3,4,3,4,3,3,3,3,3,3,4,4,3,4,4,3,2,2,2,1,2,1,2,3,3,2,2,3,2,4,4,4,4,4,4,3,4,4,1,,1,,1,,,5,5,2,989,,prolific_final,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",5c452213a6c3df0001d2014f,675867a866926f4f99073407,67597df9cec0be8ba31f3934,,0.7,0.25,0.65,0.75,0.7,1
2024-12-11 11:57:57,2024-12-11 12:13:58,0,100,961,1,2024-12-11 12:13:59,R_1fAmzCyV9hxZMFr,anonymous,EN,1,,0,0,,2,1,45,1,,,,,,,1,1,4,6,3,45,,3,,,,2,3,1,2,2,2,,1,,1,,,4,2,4,2,1,,,,1,2,3,5,2,2,4,3,1,5,3,5,1,3,5,5,2,2,2,3,1,3,3,1,3,2,3,2,2,2,4,4,3,3,4,4,2,2,3,2,2,2,4,4,3,4,4,4,4,4,3,4,4,4,2,2,3,2,2,2,4,4,3,4,4,4,2,2,3,2,2,2,4,4,3,4,4,4,4,4,3,4,4,4,2,2,3,2,2,2,4,4,3,4,4,4,2,2,3,2,2,2,3,3,3,4,4,4,2,4,4,3,4,4,4,3,4,2,,,1,,,,,3,4,2,961,,prolific_final,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",5d584a10a0c0940001a46efd,675867a866926f4f99073407,67597e33299d2a4cc0011827,,0.8,0.6,1,0.55,0.5,1
2024-12-11 11:53:04,2024-12-11 12:14:22,0,100,1278,1,2024-12-11 12:14:23,R_7XgK6Ecq1rxw6Ms,anonymous,EN,1,,0,0,,2,1,18,1,1,,,,,,5,2,0,4,3,42,,3,,,,1,5,2,,3,3,1,1,,1,,,2,2,4,2,1,,1,,4,5,3,4,4,2,4,3,2,2,4,5,3,2,2,5,2,2,3,3,4,2,2,2,3,3,3,3,3,3,3,4,3,4,3,3,4,4,4,4,4,4,2,3,3,3,3,3,4,3,4,4,4,4,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,3,3,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,1,1,1,1,,,,4,3,2,1278,,prolific_final,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",66af72617c33867b3ed6ebdf,675867a866926f4f99073407,67597d135eeff9902949def7,,0.7,0.55,0.6,0.85,0.5,1
